Name1,Name2,Check,
A Raja,Shri Andimuthu Raja,TRUE,
Shruti Choudhry,Smt. Shruti Choudhry,TRUE,
Kamal Kishor,Shri Kamal Kishor,TRUE,
Abdul Mannan Hossain,Shri Abdul Mannan Hossain,TRUE,
Arjun Ram Meghwal,Shri Arjun Ram Meghwal,TRUE,
Jayaram Pangi,Shri Jayaram Pangi,TRUE,
Jagdambika Pal,Shri Jagdambika Pal,TRUE,
Neeraj Shekhar,Shri Neeraj Shekhar,TRUE,
Raju Shetti Alias Devappa Anna,Shri Raju alias Devappa Anna Shetti,TRUE,Komatireddy Raj Gopal Reddy
Komatireddy Raj Gopal Reddy,Shri Komatireddy Raj Gopal Reddy,TRUE,Komatireddy Raj Gopal Reddy
Sanjay Singh Chauhan,Shri Sanjay Singh Chauhan,TRUE,
Namo Narain Meena,Shri Namo Narain Meena,TRUE,
Kaisar Jahan,Smt. Kaisar Jahan,TRUE,Maheshwar Hazari
Sachin Pilot,Shri Sachin Pilot,TRUE,
Arvind Kumar Chaudhary,Shri Arvind Kumar Chaudhary,TRUE,
Gaddigoudar P. C.,Shri Parvatagouda Chandanagouda Gaddigoudar,TRUE,Gaddigoudar P. C.
Ashok Kumar Rawat,Shri Ashok Kumar Rawat,TRUE,
Sucharu Ranjan Haldar,Dr. Sucharu Ranjan Haldar,TRUE,
,Shri Lalchand Kataria,TRUE,Jaipur Rural. New constituency. Started recently.
S S Palanimanickam,Shri S.S. Palanimanickam,TRUE,
Kristappa Nimmala,Shri Kristappa Nimmala,TRUE,
Jagdish Thakor,Shri Jagdish Thakor,TRUE,Ramakant Yadav
Vishnu Deo Sai,Shri Vishnu Deo Sai,TRUE,
Zafar Ali Naqvi,Shri Zafar Ali Naqvi,TRUE,
S. Ramasubbu,Shri S.S. Ramasubbu,TRUE,
M. B. Rajesh,Shri M. B. Rajesh,TRUE,
,Smt. Ingrid Mcleod,TRUE,Nominated to LS. Not elected. Anglo-indian.
Raosaheb Dadarao Danve,Shri Raosaheb Patil Danve,TRUE,
Chandrakant Khaire,Shri Chandrakant Bhaurao Khaire,TRUE,
Sudarshan Bhagat,Shri Sudarshan Bhagat,TRUE,
Kalyan Banerjee,Shri Kalyan Banerjee,TRUE,
Nalin Kumar Kateel,Shri Nalin Kumar Kateel,TRUE,
Nirmal Khatri,Dr. Nirmal Khatri,TRUE,Nirmal Khatri
Rakesh Pandey,Shri Rakesh Pandey,TRUE,
Deoraj Singh Patel,Shri Deoraj Singh Patel,TRUE,
,Dr. Charles Dias,TRUE,Nominated to LS. Not elected. Anglo-indian.
Govind Prasad Mishra,Shri Govind Prasad Mishra,TRUE,
Gurudas Vasant Kamat,Shri Gurudas Kamat,TRUE,
Nishikant Dubey,Shri Nishikant Dubey,TRUE,
Kodikkunnil Suresh,Shri Suresh Kodikunnil,TRUE,Kodikkunnil Suresh
Pakauri Lal,Shri Pakauri Lal,TRUE,
Saroj Pandey,Km. Saroj Pandey,TRUE,
Selja Kumari,Kumari  Selja,TRUE,
Choudhury Mohan Jatua,Shri Choudhury Mohan Jatua,TRUE,
Kamal Nath,Shri  Kamal Nath,TRUE,
Jagdish Singh Rana,Shri Jagdish Singh Rana,TRUE,
Mullappally Ramachandran,Shri Ramachandran Mullappally,TRUE,
Feroze Varun Gandhi,Shri Feroze Varun Gandhi,TRUE,
Sushil Kumar Singh,Shri Sushil Kumar Singh,TRUE,Sushil Kumar Singh
Hemanand Biswal,Shri Hemanand Biswal,TRUE,
Ramesh Kumar,Shri Ramesh Kumar,TRUE,Mahabali Singh
Ranee Narah,Smt. Ranee Narah,TRUE,
,Shri Dilip Singh Judeo,TRUE,Died recently. Seat is vacant.
Sajjan Singh Verma,Shri Ambica Banerjee,TRUE,
P. Venugopal,Dr. Ponnusamy Venugopal,TRUE,
E. T. Muhammed Basheer,Shri E. T. Mohammed Basheer,TRUE,
Raghuvir Meena,Shri Raghuvir Singh Meena,TRUE,
Rakesh Singh,Shri Rakesh Singh,TRUE,Kodikkunnil Suresh
Rathwa Ramsingbhai Patalbhai,Shri Ramsinh Patalyabhai Rathwa,TRUE,Gaddigoudar P. C.
Kuvarjibhai Mohanbhai Bavalia,Shri Kunwarjibhai Mohanbhai Bavaliya,TRUE,
Jitender Singh Malik,Jitender Singh Malik,,
Pralhad Joshi,Shri Pralhad Venkatesh Joshi,TRUE,Both are there in the politicians file. Different constit
Sanna Pakirappa,Shri S. Pakkirappa,TRUE,
Ram Singh Kaswan,Shri Ram Singh Kaswan,TRUE,
Prabhatsinh Pratapsinh Chauhan,Shri Prabhatsinh Pratapsinh Chauhan,TRUE,Prabhatsinh Pratapsinh Chauhan
Chandrakant Raghunath Patil,Shri Chandrakant Raghunath Patil,TRUE,
Surendra Singh Nagar,Shri Surendra Singh Nagar,TRUE,
Mahendra Kumar Roy,Shri Mahendra Kumar Roy,TRUE,
Basori Singh Masram,Shri Basori Singh Masram,,
C M Chang,Shri Chongshen Mongkosungkum Chang,TRUE,Both are there in the politicians file. Different constit
Sanjay Brijkishorlal Nirupam,Shri Sanjay Nirupam,TRUE,
Ismail Hussain,Shri Ismail Hussain,TRUE,Bhausaheb Rajaram Wakchaure
Priya Sunil Dutt,Smt. Priya Sunil Dutt,TRUE,
J. Shantha,Smt. J. Shantha,TRUE,
Pulin Bihari Baske,Dr. Pulin Bihari Baske,TRUE,
Inderjit Singh Rao,Shri Inderjit Singh Rao,TRUE,
Pradeep Kumar Singh,Shri Pradeep Kumar Jain   Aditya,TRUE,
Bijoya Chakravarty,Thiru Thalikkottai Rajuthevar Baalu,TRUE,Prabhatsinh Pratapsinh Chauhan
Gorakh Prasad Jaiswal,Shri Gorakh Prasad Jaiswal,TRUE,
Jaswant Singh,Shri S. Jagathrakshakan,TRUE,
Solanki Kiritbhai Premajibhai,Shri Kishanbhai Vestabhai Patel,TRUE,
Maheshwar Hazari,Shri Maheshwar Hazari,TRUE,
M. K. Raghavan,Shri M. K. Raghavan,TRUE,
Rajen Gohain,Shri Rajen Gohain,TRUE,
Anantha Venkatarami Reddy,Shri Anantha Venkatarami Reddy,TRUE,
Solanki Dinubhai Boghabhai,Shri Dinubhai Boghabhai Solanki,TRUE,
Mohan Jena,Shri Mohan Jena,TRUE,
Nripendra Nath Roy,Shri Nripendra Nath Roy,TRUE,
M. Veerappa Moily,Dr.(Shri) M. Veerappa Moily,TRUE,
Somendra Nath Mitra,Shri Somendra Nath Mitra,TRUE,
Anurag Singh Thakur,Shri Anurag Singh Thakur,TRUE,
Patel Natubhai Gomanbhai,Shri Natubhai Gomanbhai Patel,TRUE,
Bhausaheb Rajaram Wakchaure,Shri Bhausaheb Wakchaure,TRUE,Bhausaheb Rajaram Wakchaure
Harsh Vardhan,Shri Harsh Vardhan,TRUE,
Dushyant Singh,Shri Dushyant Singh,TRUE,
A. Ganeshamurthi,A. Ganeshamurthi,,
Anant Geete,Shri Anant Gangaram Geete,TRUE,Both are there in the politicians file. Different constit - Raigad
Dimple Yadav,Smt. Dimple Yadav,TRUE,Maheshwar Hazari
Dayanidhi Maran,Thiru Dayanidhi Maran,TRUE,
Jeetendra Singh Bundela,Shri Jeetendra Singh Bundela,TRUE,
Narayansingh Amlabe,Shri Narayan Singh Amlabe,TRUE,Gaddigoudar P. C.
P. R. Natarajan,Shri P.R. Natarajan,TRUE,
Madan Lal Sharma,Shri Madan Lal Sharma,TRUE,
Haribhai Chaudhary,Haribhai Chaudhary,,
,Shri Mukesh Bhairavdanji Gadhvi,TRUE,"Died, Replaced by Haribhai Chaudhary"
Prasanta Kumar Majumdar,Shri Prasanta Kumar Majumdar,TRUE,
R.Dhruvanarayana,Shri Rangaswamy Dhruvanarayana,TRUE,
Shivraj Singh Lodhi,Shri Shivraj Singh Lodhi,TRUE,
Kadir Rana,Shri Kadir Rana,TRUE,
Milind Murli Deora,Shri Milind Murli Deora,TRUE,
Sushila Saroj,Smt. Sushila Saroj,TRUE,Nirmal Khatri
Mohammad Asrarul Haque,Maulana Asrarul Haque Mohammad,TRUE,
Sanjay Dina Patil,Shri Sanjay Dina Patil,TRUE,
Paramjit Kaur Gulshan,Smt. Paramjit Kaur Gulshan,TRUE,
Pinaki Misra,Shri Pinaki Misra,TRUE,
Chandulal Sahu (Chandu Bhaiya),Shri Chandu Lal Sahu,TRUE,
Eknath M. Gaikwad,Shri Eknath Mahadeo Gaikwad,TRUE,
Kachhadia Naranbhai,Shri Naranbhai Kachhadia,TRUE,
Pratibha Singh,Pratibha Singh,,
,Shri Virbhadra Singh,TRUE,Resigned from Lok Sabha. Replaced by Pratibha Singh
Mahadeo Singh Khandela,Shri Mahadeo Singh Khandela,TRUE,
Harsh Vardhan,Harsh Vardhan,,
,Shri Umashanker Singh,TRUE,Died in 2013. Replaced by Harsh Vardhan
